username,password,description,merchant,amount,date,category
test1@gmail.com,test1,coffee,star,2.9,11/25/2018,food
test2@gmail.com,test2,coffee,star,2.9,11/26/2018,food
test3@gmail.com,test3,coffee,star,2.9,11/27/2018,food
test4@gmail.com,test4,coffee,star,2.9,11/28/2018,food
test5@gmail.com,test5,coffee,star,2.9,11/29/2018,food
test6@gmail.com,test6,coffee,star,2.9,11/30/2018,food
test7@gmail.com,test7,coffee,star,2.9,12/1/2018,food
test8@gmail.com,test8,coffee,star,2.9,12/2/2018,food
test9@gmail.com,test9,coffee,star,2.9,12/3/2018,food
test10@gmail.com,test10,coffee,star,2.9,12/4/2018,food
test11@gmail.com,test11,coffee,star,2.9,12/5/2018,food
test12@gmail.com,test12,coffee,star,2.9,12/6/2018,food
test13@gmail.com,test13,coffee,star,2.9,12/7/2018,food
test14@gmail.com,test14,coffee,star,2.9,12/8/2018,food
test15@gmail.com,test15,coffee,star,2.9,12/9/2018,food
test16@gmail.com,test16,coffee,star,2.9,12/10/2018,food
test17@gmail.com,test17,coffee,star,2.9,12/11/2018,food
test18@gmail.com,test18,coffee,star,2.9,12/12/2018,food
test19@gmail.com,test19,coffee,star,2.9,12/13/2018,food
test20@gmail.com,test20,coffee,star,2.9,12/14/2018,food
test21@gmail.com,test21,coffee,star,2.9,12/15/2018,food
test22@gmail.com,test22,coffee,star,2.9,12/16/2018,food
test23@gmail.com,test23,coffee,star,2.9,12/17/2018,food
test24@gmail.com,test24,coffee,star,2.9,12/18/2018,food
test25@gmail.com,test25,coffee,star,2.9,12/19/2018,food
test26@gmail.com,test26,coffee,star,2.9,12/20/2018,food
test27@gmail.com,test27,coffee,star,2.9,12/21/2018,food
test28@gmail.com,test28,coffee,star,2.9,12/22/2018,food
test29@gmail.com,test29,coffee,star,2.9,12/23/2018,food
test30@gmail.com,test30,coffee,star,2.9,12/24/2018,food
test31@gmail.com,test31,coffee,star,2.9,12/25/2018,food
test32@gmail.com,test32,coffee,star,2.9,12/26/2018,food
test33@gmail.com,test33,coffee,star,2.9,12/27/2018,food
test34@gmail.com,test34,coffee,star,2.9,12/28/2018,food
test35@gmail.com,test35,coffee,star,2.9,12/29/2018,food
test36@gmail.com,test36,coffee,star,2.9,12/30/2018,food
test37@gmail.com,test37,coffee,star,2.9,12/31/2018,food
test38@gmail.com,test38,coffee,star,2.9,1/1/2019,food
test39@gmail.com,test39,coffee,star,2.9,1/2/2019,food
test40@gmail.com,test40,coffee,star,2.9,1/3/2019,food
test41@gmail.com,test41,coffee,star,2.9,1/4/2019,food
test42@gmail.com,test42,coffee,star,2.9,1/5/2019,food
test43@gmail.com,test43,coffee,star,2.9,1/6/2019,food
test44@gmail.com,test44,coffee,star,2.9,1/7/2019,food
test45@gmail.com,test45,coffee,star,2.9,1/8/2019,food
